,Healthy state,Pre-Clinical-1,Pre-Clinical-2,Pre-Clinical-3,Pre-Clinical-4,Clinical-1,Clinical-2,Clinical-3,Clinical-4
Age 1,374.181573,0,0,0,0,0,0,0,0
Age 2,369.9015016,0,0,0,0,0,0,0,0
Age 3,368.6753294,0,0,0,0,0,0,0,0
Age 4,367.5230597,0,0,0,0,0,0,0,0
Age 5,366.9611507,0,0,0,0,0,0,0,0
Age 6,366.5943608,0,0,0,0,0,0,0,0
Age 7,366.3231746,0,0,0,0,0,0,0,0
Age 8,366.1034422,0,0,0,0,0,0,0,0
Age 9,365.9167739,0,0,0,0,0,0,0,0
Age 10,365.7521459,0,0,0,0,0,0,0,0
Age 11,365.6022162,0,0,0,0,0,0,0,0
Age 12,365.4669668,0,0,0,0,0,0,0,0
Age 13,365.3427277,0,0,0,0,0,0,0,0
Age 14,365.2221832,0,0,0,0,0,0,0,0
Age 15,365.1005294,0.000860908,0.000231526,7.83E-05,2.86E-05,0,0,0,0
Age 16,364.9649739,0.002892641,0.000615676,0.000252308,0.000119178,0.000927854,0.00053181,6.01E-05,2.34E-05
Age 17,364.8143675,0.006242933,0.00135983,0.000589563,0.000297499,0.003097984,0.001755712,0.000195703,7.63E-05
Age 18,364.6409504,0.010423201,0.002319089,0.001067746,0.000573638,0.006951249,0.003958853,0.0004433,0.0001745
Age 19,364.4485928,0.014854519,0.003346229,0.001612764,0.000909484,0.012691617,0.00722869,0.000809558,0.000320426
Age 20,364.2374721,0.019369518,0.004370501,0.002167129,0.001261888,0.020382009,0.011516955,0.001277157,0.00050353
Age 21,364.0072571,0.024240676,0.00542403,0.002721951,0.001611431,0.030130475,0.016772782,0.001825452,0.000710961
Age 22,363.7576004,0.037337886,0.010007757,0.002133767,0.00132422,0.032283214,0.020524618,0.005797573,0.000799127
Age 23,363.4881385,0.049207682,0.013953199,0.002982153,0.001682139,0.035275511,0.026781844,0.010248237,0.000894619
Age 24,363.1984921,0.06098135,0.017584008,0.00372804,0.002140337,0.039067964,0.035072466,0.015429147,0.001101364
Age 25,362.8917146,0.073432392,0.021184072,0.004422836,0.002570417,0.043684143,0.045185815,0.021063667,0.001372093
Age 26,362.5671349,0.090044866,0.028808666,0.008197419,0.004198765,0.045523326,0.052624174,0.02462265,0.001891585
Age 27,362.2206099,0.107492381,0.035201987,0.010193287,0.005646942,0.047744372,0.062563512,0.030785759,0.002744862
Age 28,361.8553977,0.126141863,0.041434264,0.011904584,0.006756526,0.05037083,0.074647793,0.038100087,0.003673117
Age 29,361.4712767,0.146127428,0.047835844,0.013561627,0.007736493,0.053431007,0.088815262,0.046245469,0.004598003
Age 30,361.068346,0.167289909,0.054472897,0.01521297,0.008669495,0.056952397,0.105094226,0.055132874,0.005518844
Age 31,360.6431263,0.190955174,0.061550643,0.011307329,0.004006406,0.059225079,0.123567203,0.071987257,0.009985422
Age 32,360.1954701,0.215576683,0.068982319,0.012316329,0.003902324,0.061804332,0.144373815,0.086179163,0.011090544
Age 33,359.7249446,0.241662941,0.076679432,0.013394211,0.004148591,0.064705646,0.167592146,0.100785257,0.012121114
Age 34,359.2272409,0.269819442,0.084730324,0.014472358,0.004402629,0.067951022,0.193315087,0.115938545,0.01324088
Age 35,358.69779,0.300737616,0.093289886,0.015570713,0.00464947,0.071570689,0.221695903,0.13175032,0.014430843
Age 36,358.1353505,0.335191507,0.102544154,0.016714362,0.004894866,0.075604872,0.2529663,0.148372853,0.015681743
Age 37,357.5344364,0.374366418,0.112742084,0.0179344,0.005146522,0.080105811,0.287446966,0.166003379,0.016997804
